area_code,area_name,indicator,group,measure,value
E07000209,Guildford,Voted leave in EU referendum,NA,Percentage,43.83
E07000210,Mole Valley,Voted leave in EU referendum,NA,Percentage,46.92
E07000211,Reigate and Banstead,Voted leave in EU referendum,NA,Percentage,50.49
E07000212,Runnymede,Voted leave in EU referendum,NA,Percentage,54.26
E07000213,Spelthorne,Voted leave in EU referendum,NA,Percentage,60.3
E07000214,Surrey Heath,Voted leave in EU referendum,NA,Percentage,50.98
E07000215,Tandridge,Voted leave in EU referendum,NA,Percentage,52.84
E07000216,Waverley,Voted leave in EU referendum,NA,Percentage,41.61
E07000217,Woking,Voted leave in EU referendum,NA,Percentage,43.85
E07000223,Adur,Voted leave in EU referendum,NA,Percentage,54.57
E07000224,Arun,Voted leave in EU referendum,NA,Percentage,62.48
E07000225,Chichester,Voted leave in EU referendum,NA,Percentage,50.92
E07000226,Crawley,Voted leave in EU referendum,NA,Percentage,58.41
E07000227,Horsham,Voted leave in EU referendum,NA,Percentage,48.54
E07000228,Mid Sussex,Voted leave in EU referendum,NA,Percentage,46.91
E07000229,Worthing,Voted leave in EU referendum,NA,Percentage,52.99
E06000022,Bath and North East Somerset,Voted leave in EU referendum,NA,Percentage,42.15
E06000023,"Bristol, City of",Voted leave in EU referendum,NA,Percentage,38.27
E06000024,North Somerset,Voted leave in EU referendum,NA,Percentage,52.17
E06000025,South Gloucestershire,Voted leave in EU referendum,NA,Percentage,52.68
E06000026,Plymouth,Voted leave in EU referendum,NA,Percentage,59.94
E06000027,Torbay,Voted leave in EU referendum,NA,Percentage,63.16
E06000028,Bournemouth,Voted leave in EU referendum,NA,Percentage,54.88
E06000029,Poole,Voted leave in EU referendum,NA,Percentage,58.17
E06000030,Swindon,Voted leave in EU referendum,NA,Percentage,54.66
E06000052,Cornwall,Voted leave in EU referendum,NA,Percentage,56.52
E06000053,Isles of Scilly,Voted leave in EU referendum,NA,Percentage,43.61
E06000054,Wiltshire,Voted leave in EU referendum,NA,Percentage,52.49
E07000040,East Devon,Voted leave in EU referendum,NA,Percentage,54.11
E07000041,Exeter,Voted leave in EU referendum,NA,Percentage,44.72
E07000042,Mid Devon,Voted leave in EU referendum,NA,Percentage,53.34
E07000043,North Devon,Voted leave in EU referendum,NA,Percentage,57.04
E07000044,South Hams,Voted leave in EU referendum,NA,Percentage,47.15
E07000045,Teignbridge,Voted leave in EU referendum,NA,Percentage,53.9
E07000046,Torridge,Voted leave in EU referendum,NA,Percentage,60.83
E07000047,West Devon,Voted leave in EU referendum,NA,Percentage,53.2
E07000048,Christchurch,Voted leave in EU referendum,NA,Percentage,58.83
E07000049,East Dorset,Voted leave in EU referendum,NA,Percentage,57.62
E07000050,North Dorset,Voted leave in EU referendum,NA,Percentage,56.4
E07000051,Purbeck,Voted leave in EU referendum,NA,Percentage,59.07
E07000052,West Dorset,Voted leave in EU referendum,NA,Percentage,51.03
E07000053,Weymouth and Portland,Voted leave in EU referendum,NA,Percentage,61.04
E07000078,Cheltenham,Voted leave in EU referendum,NA,Percentage,43.83
E07000079,Cotswold,Voted leave in EU referendum,NA,Percentage,48.9
E07000080,Forest of Dean,Voted leave in EU referendum,NA,Percentage,58.58
E07000081,Gloucester,Voted leave in EU referendum,NA,Percentage,58.5
E07000082,Stroud,Voted leave in EU referendum,NA,Percentage,45.39
E07000083,Tewkesbury,Voted leave in EU referendum,NA,Percentage,53.25
E07000187,Mendip,Voted leave in EU referendum,NA,Percentage,48.93
E07000188,Sedgemoor,Voted leave in EU referendum,NA,Percentage,61.2
E07000189,South Somerset,Voted leave in EU referendum,NA,Percentage,57.25
E07000190,Taunton Deane,Voted leave in EU referendum,NA,Percentage,52.92
E07000191,West Somerset,Voted leave in EU referendum,NA,Percentage,60.59
W06000001,Isle of Anglesey,Voted leave in EU referendum,NA,Percentage,50.94
W06000002,Gwynedd,Voted leave in EU referendum,NA,Percentage,41.95
W06000003,Conwy,Voted leave in EU referendum,NA,Percentage,53.98
W06000004,Denbighshire,Voted leave in EU referendum,NA,Percentage,54
W06000005,Flintshire,Voted leave in EU referendum,NA,Percentage,56.37
W06000006,Wrexham,Voted leave in EU referendum,NA,Percentage,59.04
W06000008,Ceredigion,Voted leave in EU referendum,NA,Percentage,45.37
W06000009,Pembrokeshire,Voted leave in EU referendum,NA,Percentage,57.14
W06000010,Carmarthenshire,Voted leave in EU referendum,NA,Percentage,53.75
W06000011,Swansea,Voted leave in EU referendum,NA,Percentage,51.51
W06000012,Neath Port Talbot,Voted leave in EU referendum,NA,Percentage,56.84
W06000013,Bridgend,Voted leave in EU referendum,NA,Percentage,54.64
W06000014,Vale of Glamorgan,Voted leave in EU referendum,NA,Percentage,49.27
W06000015,Cardiff,Voted leave in EU referendum,NA,Percentage,39.98
W06000016,Rhondda Cynon Taf,Voted leave in EU referendum,NA,Percentage,53.7
W06000018,Caerphilly,Voted leave in EU referendum,NA,Percentage,57.63
W06000019,Blaenau Gwent,Voted leave in EU referendum,NA,Percentage,62.03
W06000020,Torfaen,Voted leave in EU referendum,NA,Percentage,59.78
W06000021,Monmouthshire,Voted leave in EU referendum,NA,Percentage,49.56
W06000022,Newport,Voted leave in EU referendum,NA,Percentage,55.99
W06000023,Powys,Voted leave in EU referendum,NA,Percentage,53.74
W06000024,Merthyr Tydfil,Voted leave in EU referendum,NA,Percentage,56.44
E06000019,"Herefordshire, County of",Voted leave in EU referendum,NA,Percentage,59.22
E06000020,Telford and Wrekin,Voted leave in EU referendum,NA,Percentage,63.22
E06000021,Stoke-on-Trent,Voted leave in EU referendum,NA,Percentage,69.36
E06000051,Shropshire,Voted leave in EU referendum,NA,Percentage,56.87
E07000192,Cannock Chase,Voted leave in EU referendum,NA,Percentage,68.86
E07000193,East Staffordshire,Voted leave in EU referendum,NA,Percentage,63.21
E07000194,Lichfield,Voted leave in EU referendum,NA,Percentage,58.81
E07000195,Newcastle-under-Lyme,Voted leave in EU referendum,NA,Percentage,63.04
E07000196,South Staffordshire,Voted leave in EU referendum,NA,Percentage,64.85
E07000197,Stafford,Voted leave in EU referendum,NA,Percentage,55.99
E07000198,Staffordshire Moorlands,Voted leave in EU referendum,NA,Percentage,64.73
E07000199,Tamworth,Voted leave in EU referendum,NA,Percentage,67.47
E07000218,North Warwickshire,Voted leave in EU referendum,NA,Percentage,66.88
E07000219,Nuneaton and Bedworth,Voted leave in EU referendum,NA,Percentage,66.01
E07000220,Rugby,Voted leave in EU referendum,NA,Percentage,56.7
E07000221,Stratford-on-Avon,Voted leave in EU referendum,NA,Percentage,51.56
E07000222,Warwick,Voted leave in EU referendum,NA,Percentage,41.22
E07000234,Bromsgrove,Voted leave in EU referendum,NA,Percentage,55.37
E07000235,Malvern Hills,Voted leave in EU referendum,NA,Percentage,52.16
E07000236,Redditch,Voted leave in EU referendum,NA,Percentage,62.29
E07000237,Worcester,Voted leave in EU referendum,NA,Percentage,53.68
E07000238,Wychavon,Voted leave in EU referendum,NA,Percentage,57.86
E07000239,Wyre Forest,Voted leave in EU referendum,NA,Percentage,63.15
E08000025,Birmingham,Voted leave in EU referendum,NA,Percentage,50.42
E08000026,Coventry,Voted leave in EU referendum,NA,Percentage,55.6
E08000027,Dudley,Voted leave in EU referendum,NA,Percentage,67.6
E08000028,Sandwell,Voted leave in EU referendum,NA,Percentage,66.72
E08000029,Solihull,Voted leave in EU referendum,NA,Percentage,56.16
E08000030,Walsall,Voted leave in EU referendum,NA,Percentage,67.86
E08000031,Wolverhampton,Voted leave in EU referendum,NA,Percentage,62.57
E06000010,"Kingston upon Hull, City of",Voted leave in EU referendum,NA,Percentage,67.62
E06000011,East Riding of Yorkshire,Voted leave in EU referendum,NA,Percentage,60.4
E06000012,North East Lincolnshire,Voted leave in EU referendum,NA,Percentage,69.87
E06000013,North Lincolnshire,Voted leave in EU referendum,NA,Percentage,66.3
E06000014,York,Voted leave in EU referendum,NA,Percentage,41.96
